section,quantity,parameter,output,value,unit,tag,note
evpi_per_cost,measurement_cost,mass_yield_leach,,1140.0,USD,DERIVED,see measurement_costs_usd section for this cost's basis
evpi_per_cost,evpi_per_usd,mass_yield_leach,npv_musd,0.0,MUSD per USD,COMPUTED,
evpi_per_cost,measurement_cost,price,,45000.0,USD,ASSUMED,see measurement_costs_usd section for this cost's basis
evpi_per_cost,evpi_per_usd,price,npv_musd,0.0,MUSD per USD,COMPUTED,
evpi_per_cost,measurement_cost,reagent_price,,8000.0,USD,ASSUMED,see measurement_costs_usd section for this cost's basis
evpi_per_cost,evpi_per_usd,reagent_price,npv_musd,0.0,MUSD per USD,COMPUTED,
measurement_costs_usd,unit_cost,al_mean_ppm,,64.60000000000001,USD,SOURCED,Actlabs 2026 fee schedule: RX1 prep 12.40 plus Code 4B2-Std fusion ICP-MS 52.20 at the 11+ sample price
measurement_costs_usd,unit_cost,al_sigma_ppm,,273.4,USD,DERIVED,"Actlabs 2026 SOURCED unit prices, 12.40 plus 5 x 52.20; the replicate count of 5 lots is ASSUMED"
measurement_costs_usd,unit_cost,mass_yield_flot,,1000.0,USD,ASSUMED,"proxy: Hazen July 2026 Bond ball mill grindability 1,000 USD is SOURCED, but standing in for a bench flotation test is judgement. Bench flotation is quoted By Quote at both laboratories"
measurement_costs_usd,unit_cost,mass_yield_leach,,1140.0,USD,DERIVED,Hazen July 2026 SOURCED prices: 6 x (leach 10 plus ICP-OES solids scan 155 plus 4-acid digestion 20) plus prep 30; the 6 leach conditions are ASSUMED
measurement_costs_usd,unit_cost,price,,45000.0,USD,ASSUMED,"commercial market study, not a laboratory service; no list price exists to cite"
measurement_costs_usd,unit_cost,capex_musd,,120000.0,USD,ASSUMED,"EPC or engineering cost study, not a laboratory service; no list price exists to cite"
measurement_costs_usd,unit_cost,power_price,,15000.0,USD,ASSUMED,"tariff negotiation or power market study, not a laboratory service; no list price exists to cite"
measurement_costs_usd,unit_cost,reagent_price,,8000.0,USD,ASSUMED,"reagent supply quotation, not a laboratory service; no list price exists to cite"
measurement_costs_usd,unit_cost,discount_rate,,25000.0,USD,ASSUMED,"cost of capital is set by financing terms, not measurable by assay; the figure is the cost of establishing terms"
evpi_convergence,evpi_at_inner_16,mass_yield_flot,npv_musd,0.0,MUSD,COMPUTED,nested MC bias falls as inner sample grows
evpi_convergence,evpi_at_inner_64,mass_yield_flot,npv_musd,0.0,MUSD,COMPUTED,nested MC bias falls as inner sample grows
evpi_convergence,evpi_at_inner_256,mass_yield_flot,npv_musd,0.0,MUSD,COMPUTED,nested MC bias falls as inner sample grows
evpi_null_calibration,baseline,,prior_best_value,18.947227661381596,MUSD,COMPUTED,"shared baseline, 65536 draws, best action build_base"
evpi_seed_replication,evpi_mean,mass_yield_flot,npv_musd,0.02630786594517609,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,evpi_sd,mass_yield_flot,npv_musd,0.06444084778722371,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,evpi_max,mass_yield_flot,npv_musd,0.15784719567105654,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,baseline_sd,mass_yield_flot,npv_musd,0.6775914652801416,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,switch_fraction_max,mass_yield_flot,npv_musd,0.0,fraction,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,evpi_mean,al_sigma_ppm,npv_musd,0.103301787962731,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,evpi_sd,al_sigma_ppm,npv_musd,0.2530366700258724,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,evpi_max,al_sigma_ppm,npv_musd,0.619810727776386,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,baseline_sd,al_sigma_ppm,npv_musd,0.6775914652801416,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,switch_fraction_max,al_sigma_ppm,npv_musd,0.0,fraction,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,evpi_mean,al_mean_ppm,npv_musd,0.10486338446985204,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,evpi_sd,al_mean_ppm,npv_musd,0.2568617846524314,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
