section,quantity,parameter,output,value,unit,tag,note
evpi_ceiling,fraction_of_draws_where_information_binds,seed_4321,npv_musd,0.083965,fraction,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,evpi_all_by_seed,seed_999,npv_musd,0.40175537979314074,MUSD,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,fraction_of_draws_where_information_binds,seed_999,npv_musd,0.084945,fraction,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,evpi_all_by_seed,seed_20260917,npv_musd,0.4025604145288776,MUSD,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,fraction_of_draws_where_information_binds,seed_20260917,npv_musd,0.084685,fraction,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,ceiling_usd,all_nine,npv_musd,403026.5085859959,USD,COMPUTED,"the same ceiling expressed in USD, for comparison against campaign cost"
assay_campaign,per_sample_cost,ore_all_four,,2478.0,USD,DERIVED,"sum of the four ore parameter costs: 64.60 SOURCED, 273.40 and 1140.00 DERIVED, 1000.00 ASSUMED proxy"
assay_campaign,n_samples_low,ore_all_four,,20,samples,ASSUMED,"20 to 30 samples labelled AE-Q-### comes from the Quartz Foundry project brief, NOT from a power calculation performed here"
assay_campaign,n_samples_high,ore_all_four,,30,samples,ASSUMED,"20 to 30 samples labelled AE-Q-### comes from the Quartz Foundry project brief, NOT from a power calculation performed here"
assay_campaign,campaign_cost_low,ore_all_four,,49560.0,USD,DERIVED,per-sample cost times the ASSUMED sample count
assay_campaign,campaign_cost_high,ore_all_four,,74340.0,USD,DERIVED,per-sample cost times the ASSUMED sample count
assay_campaign,ceiling_over_cost_ratio_low,ore_all_four,npv_musd,5.4213950576539665,ratio,COMPUTED,"information ceiling divided by campaign cost; cover ratio, not a return on investment"
